per_idx,date,cat_idx,dt_idx,prefix,suffix,variable,geo_idx,geoID,is_adj1,is_adj,val
1,1/1/1963,1,5,MEDIAN,_SOLD,MEDIAN_SOLD,1,US,0,False,17200
1,1/1/1963,1,2,NOTSTD,_SOLD,NOTSTD_SOLD,1,US,0,False,9
1,1/1/1963,1,3,UNDERC,_SOLD,UNDERC_SOLD,1,US,0,False,11
1,1/1/1963,1,4,COMPED,_SOLD,COMPED_SOLD,1,US,0,False,22
1,1/1/1963,1,1,TOTAL,_SOLD,TOTAL_SOLD,1,US,0,False,42
1,1/1/1963,2,1,TOTAL,_ASOLD,TOTAL_ASOLD,1,US,1,True,591
1,1/1/1963,3,7,MONSUP,_FORSALE,MONSUP_FORSALE,1,US,0,False,5.6
1,1/1/1963,3,7,MONSUP,_FORSALE,MONSUP_FORSALE,1,US,1,True,4.7
1,1/1/1963,3,1,TOTAL,_FORSALE,TOTAL_FORSALE,1,US,0,False,234
1,1/1/1963,3,1,TOTAL,_FORSALE,TOTAL_FORSALE,1,US,1,True,235
2,2/1/1963,1,5,MEDIAN,_SOLD,MEDIAN_SOLD,1,US,0,False,17700
2,2/1/1963,1,2,NOTSTD,_SOLD,NOTSTD_SOLD,1,US,0,False,8
2,2/1/1963,1,3,UNDERC,_SOLD,UNDERC_SOLD,1,US,0,False,10
2,2/1/1963,1,4,COMPED,_SOLD,COMPED_SOLD,1,US,0,False,16
2,2/1/1963,1,1,TOTAL,_SOLD,TOTAL_SOLD,1,US,0,False,35
2,2/1/1963,2,1,TOTAL,_ASOLD,TOTAL_ASOLD,1,US,1,True,464
2,2/1/1963,3,7,MONSUP,_FORSALE,MONSUP_FORSALE,1,US,0,False,6.8
2,2/1/1963,3,7,MONSUP,_FORSALE,MONSUP_FORSALE,1,US,1,True,6.6
2,2/1/1963,3,1,TOTAL,_FORSALE,TOTAL_FORSALE,1,US,0,False,236
2,2/1/1963,3,1,TOTAL,_FORSALE,TOTAL_FORSALE,1,US,1,True,238
3,3/1/1963,1,5,MEDIAN,_SOLD,MEDIAN_SOLD,1,US,0,False,18200
3,3/1/1963,1,2,NOTSTD,_SOLD,NOTSTD_SOLD,1,US,0,False,13
3,3/1/1963,1,3,UNDERC,_SOLD,UNDERC_SOLD,1,US,0,False,12
3,3/1/1963,1,4,COMPED,_SOLD,COMPED_SOLD,1,US,0,False,18
3,3/1/1963,1,1,TOTAL,_SOLD,TOTAL_SOLD,1,US,0,False,44
3,3/1/1963,2,1,TOTAL,_ASOLD,TOTAL_ASOLD,1,US,1,True,461
3,3/1/1963,3,7,MONSUP,_FORSALE,MONSUP_FORSALE,1,US,0,False,5.6
3,3/1/1963,3,7,MONSUP,_FORSALE,MONSUP_FORSALE,1,US,1,True,6.4
3,3/1/1963,3,1,TOTAL,_FORSALE,TOTAL_FORSALE,1,US,0,False,246
3,3/1/1963,3,1,TOTAL,_FORSALE,TOTAL_FORSALE,1,US,1,True,242
4,4/1/1963,1,5,MEDIAN,_SOLD,MEDIAN_SOLD,1,US,0,False,18200
4,4/1/1963,1,2,NOTSTD,_SOLD,NOTSTD_SOLD,1,US,0,False,10
4,4/1/1963,1,3,UNDERC,_SOLD,UNDERC_SOLD,1,US,0,False,15
4,4/1/1963,1,4,COMPED,_SOLD,COMPED_SOLD,1,US,0,False,27
4,4/1/1963,1,1,TOTAL,_SOLD,TOTAL_SOLD,1,US,0,False,52
4,4/1/1963,2,1,TOTAL,_ASOLD,TOTAL_ASOLD,1,US,1,True,605
4,4/1/1963,3,7,MONSUP,_FORSALE,MONSUP_FORSALE,1,US,0,False,4.9
4,4/1/1963,3,7,MONSUP,_FORSALE,MONSUP_FORSALE,1,US,1,True,5.3
4,4/1/1963,3,1,TOTAL,_FORSALE,TOTAL_FORSALE,1,US,0,False,254
4,4/1/1963,3,1,TOTAL,_FORSALE,TOTAL_FORSALE,1,US,1,True,246
5,5/1/1963,1,5,MEDIAN,_SOLD,MEDIAN_SOLD,1,US,0,False,17500
5,5/1/1963,1,2,NOTSTD,_SOLD,NOTSTD_SOLD,1,US,0,False,14
5,5/1/1963,1,3,UNDERC,_SOLD,UNDERC_SOLD,1,US,0,False,20
5,5/1/1963,1,4,COMPED,_SOLD,COMPED_SOLD,1,US,0,False,24
5,5/1/1963,1,1,TOTAL,_SOLD,TOTAL_SOLD,1,US,0,False,58
5,5/1/1963,2,1,TOTAL,_ASOLD,TOTAL_ASOLD,1,US,1,True,586
5,5/1/1963,3,7,MONSUP,_FORSALE,MONSUP_FORSALE,1,US,0,False,4.4
5,5/1/1963,3,7,MONSUP,_FORSALE,MONSUP_FORSALE,1,US,1,True,5.1
5,5/1/1963,3,1,TOTAL,_FORSALE,TOTAL_FORSALE,1,US,0,False,254
5,5/1/1963,3,1,TOTAL,_FORSALE,TOTAL_FORSALE,1,US,1,True,248
6,6/1/1963,1,5,MEDIAN,_SOLD,MEDIAN_SOLD,1,US,0,False,18000
6,6/1/1963,1,2,NOTSTD,_SOLD,NOTSTD_SOLD,1,US,0,False,10
6,6/1/1963,1,3,UNDERC,_SOLD,UNDERC_SOLD,1,US,0,False,16
6,6/1/1963,1,4,COMPED,_SOLD,COMPED_SOLD,1,US,0,False,22
6,6/1/1963,1,1,TOTAL,_SOLD,TOTAL_SOLD,1,US,0,False,48
6,6/1/1963,2,1,TOTAL,_ASOLD,TOTAL_ASOLD,1,US,1,True,526
6,6/1/1963,3,7,MONSUP,_FORSALE,MONSUP_FORSALE,1,US,0,False,5.3
6,6/1/1963,3,7,MONSUP,_FORSALE,MONSUP_FORSALE,1,US,1,True,6
6,6/1/1963,3,1,TOTAL,_FORSALE,TOTAL_FORSALE,1,US,0,False,256
6,6/1/1963,3,1,TOTAL,_FORSALE,TOTAL_FORSALE,1,US,1,True,253
